S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
120,2021-06-28,51,46995.00,471790.10,10.08,10.01,10.02
121,2021-06-27,41,11945.00,120093.35,10.12,10.01,10.10
122,2021-06-24,35,16450.00,166434.00,10.25,10.01,10.12
123,2021-06-23,46,47240.00,478392.30,10.20,10.01,10.20
124,2021-06-22,53,85900.00,885450.30,10.39,10.01,10.20
125,2021-06-21,43,51640.00,518562.60,10.14,10.00,10.14
126,2021-06-20,56,36680.00,370172.20,10.21,10.05,10.08
127,2021-06-17,50,21590.00,219462.50,10.28,10.05,10.16
128,2021-06-16,34,15670.00,159788.00,10.22,10.10,10.20
129,2021-06-15,77,59350.00,604068.50,10.22,10.10,10.22
130,2021-06-14,69,35620.00,361670.40,10.20,10.10,10.17
131,2021-06-13,64,26050.00,265121.50,10.25,10.05,10.18
132,2021-06-10,75,45460.00,465705.40,10.35,10.20,10.25
133,2021-06-09,62,35260.00,364183.50,10.47,10.07,10.41
134,2021-06-08,82,46800.00,477968.70,10.27,10.00,10.27
135,2021-06-07,67,55590.00,563319.60,10.20,10.11,10.14
136,2021-06-06,50,36050.00,366931.50,10.40,10.02,10.20
137,2021-06-03,75,83230.00,849415.20,10.25,10.10,10.22
138,2021-06-02,71,57180.00,576982.50,10.20,10.07,10.21
139,2021-06-01,110,116640.00,1179968.20,10.20,10.07,10.07
140,2021-05-31,130,127740.00,1286695.80,10.12,10.00,10.07
141,2021-05-30,135,115650.00,1156047.00,10.07,9.93,10.05
142,2021-05-27,38,14860.00,146702.60,9.93,9.55,9.93
143,2021-05-25,36,16550.00,163987.00,9.99,9.85,9.93
144,2021-05-24,33,17800.00,176675.00,9.96,9.85,9.93
145,2021-05-23,40,11150.00,110463.50,9.97,9.80,9.93
146,2021-05-20,58,27620.00,274273.20,9.98,9.80,9.97
147,2021-05-19,45,42880.00,424794.00,9.98,9.80,9.96
148,2021-05-18,61,42590.00,423500.30,9.97,9.90,9.97
149,2021-05-17,43,26440.00,261725.50,9.99,9.78,9.95
150,2021-05-16,54,25260.00,248097.70,9.98,9.75,9.89
151,2021-05-13,55,29160.00,287084.50,9.98,9.71,9.80
152,2021-05-12,32,13850.00,136425.85,9.99,9.70,9.85
153,2021-05-11,34,11050.00,108708.50,9.99,9.74,9.85
154,2021-05-10,28,23200.00,228147.00,9.93,9.72,9.93
155,2021-05-09,35,28850.00,283394.50,9.90,9.71,9.80
156,2021-05-06,40,15750.00,156278.50,9.99,9.73,9.80
157,2021-05-05,37,9100.00,89319.00,9.89,9.73,9.89
158,2021-05-04,49,39360.00,387123.00,9.89,9.72,9.81
159,2021-05-03,34,15100.00,147650.50,9.89,9.62,9.89
160,2021-05-02,40,14600.00,143280.00,9.86,9.67,9.80
161,2021-04-29,21,29700.00,290852.00,9.84,9.70,9.84
162,2021-04-28,36,23500.00,230054.00,10.21,9.52,9.78
163,2021-04-27,30,32440.00,319417.00,9.90,9.70,9.85
164,2021-04-26,24,18410.00,180003.00,9.89,9.65,9.76
165,2021-04-25,29,57750.00,575232.00,9.98,9.80,9.82
166,2021-04-22,36,10800.00,105541.00,10.38,9.52,10.18
167,2021-04-21,42,35910.00,353439.10,9.98,9.81,9.81
168,2021-04-20,27,16500.00,162496.00,10.00,9.80,9.84
169,2021-04-19,28,7470.00,74041.20,10.00,9.83,9.90
170,2021-04-18,55,30945.00,309873.75,10.07,9.87,9.99
171,2021-04-15,80,99430.00,995117.50,10.04,9.68,10.01
172,2021-04-13,32,14600.00,143459.00,9.99,9.70,9.99
173,2021-04-12,21,6650.00,65256.00,9.89,9.76,9.85
174,2021-04-08,24,5895.00,58279.25,10.00,9.79,9.95
175,2021-04-07,11,2100.00,20876.00,10.00,9.81,9.95
176,2021-04-06,50,32940.00,325427.80,10.04,9.70,10.04
177,2021-04-05,32,24294.00,238616.30,9.90,9.80,9.89
178,2021-04-04,55,49932.00,495773.67,10.01,9.61,9.98
179,2021-04-01,46,27550.00,275444.50,10.05,9.78,9.96
180,2021-03-31,23,5010.00,49670.20,9.97,9.74,9.97
181,2021-03-30,35,17009.00,167077.29,10.00,9.74,9.90
182,2021-03-29,59,20090.00,200010.00,10.10,9.81,9.93
183,2021-03-25,66,52860.00,525682.00,10.00,9.72,9.93
184,2021-03-24,34,14160.00,139709.60,9.90,9.65,9.89
185,2021-03-23,43,13140.00,129017.00,9.85,9.70,9.84
186,2021-03-22,35,27500.00,270282.00,9.94,9.75,9.81
187,2021-03-21,42,16970.00,167057.10,9.88,9.80,9.88
188,2021-03-18,25,16940.00,167568.80,9.93,9.80,9.89
189,2021-03-17,32,9050.00,89099.50,9.99,9.70,9.93
190,2021-03-16,24,15439.00,151061.60,9.89,9.70,9.80
191,2021-03-15,19,9350.00,92141.00,10.00,9.70,9.80
192,2021-03-14,35,14750.00,145958.50,10.00,9.85,9.85
193,2021-03-10,30,24000.00,237845.00,10.00,9.85,9.85
194,2021-03-09,42,17010.00,169280.70,10.09,9.82,9.88
195,2021-03-07,20,6090.00,60009.40,10.00,9.81,9.90
196,2021-03-04,27,13110.00,130925.70,10.08,9.81,10.00
197,2021-03-03,14,5400.00,53445.00,10.00,9.89,9.89
198,2021-03-02,14,3400.00,33824.00,10.00,9.90,9.92
199,2021-03-01,34,15590.00,154795.10,10.10,9.82,10.10
200,2021-02-28,37,20750.00,208136.00,10.10,10.00,10.01
201,2021-02-25,79,59241.00,607999.52,10.33,9.99,10.29
