S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
74,2021-09-06,470,11607.00,8326656.00,742.00,687.00,741.00
75,2021-09-05,603,18987.00,13330642.00,720.00,683.00,696.00
76,2021-09-02,476,10556.00,7698058.50,735.00,722.00,729.00
77,2021-09-01,435,7913.00,5846888.80,750.00,735.00,736.50
78,2021-08-31,623,12964.00,9544191.00,748.60,733.70,735.90
79,2021-08-29,759,18073.00,13587693.10,761.00,747.00,748.60
80,2021-08-26,548,13965.00,10623217.70,770.00,751.00,761.30
81,2021-08-25,485,16020.00,12259868.00,777.00,760.00,762.00
82,2021-08-24,835,29900.00,23672856.20,815.00,778.80,778.80
83,2021-08-19,1321,42508.00,33609012.10,809.00,761.00,789.00
84,2021-08-18,884,26218.00,19803556.00,767.00,748.00,766.00
85,2021-08-17,689,17267.00,13182144.50,772.00,761.00,761.00
86,2021-08-16,731,15904.00,12269503.60,795.00,767.00,772.00
87,2021-08-15,637,20471.00,16014792.60,795.00,772.00,780.00
88,2021-08-12,766,22056.00,17276155.20,793.00,768.00,780.00
89,2021-08-11,560,15511.00,12019150.00,785.00,772.00,774.00
90,2021-08-10,803,20094.00,15499597.00,777.00,762.00,777.00
91,2021-08-09,664,13295.00,10242113.50,775.00,762.00,771.00
92,2021-08-08,627,18033.00,13988350.00,800.00,772.00,774.00
93,2021-08-05,615,13940.00,11010517.60,799.00,785.00,785.60
94,2021-08-04,710,23149.00,18427102.40,806.00,786.30,788.00
95,2021-08-03,605,12859.00,10119182.50,795.00,776.00,792.00
96,2021-08-02,582,12088.00,9518359.00,793.00,782.00,788.00
97,2021-08-01,711,14202.00,11290430.00,808.00,790.00,791.00
98,2021-07-29,908,31908.00,25935046.50,830.00,791.10,803.00
99,2021-07-28,1225,35030.00,27936878.00,820.00,765.00,812.00
100,2021-07-27,679,14592.00,11271462.00,780.00,765.00,772.00
101,2021-07-26,728,12874.00,9893277.00,775.00,756.20,765.00
102,2021-07-25,704,15355.00,11685841.10,765.00,752.00,762.00
103,2021-07-22,665,16909.00,12981777.80,771.00,762.50,765.00
104,2021-07-20,408,9444.00,7350669.50,800.00,775.00,777.00
105,2021-07-19,447,13519.00,10604013.50,795.00,775.00,785.00
106,2021-07-18,664,15782.00,12110617.50,780.00,759.90,780.00
107,2021-07-15,413,10609.00,7990267.00,765.00,750.00,754.00
108,2021-07-14,273,5268.00,3971023.00,765.00,745.00,754.00
109,2021-07-13,278,4983.00,3762620.00,760.00,746.00,759.00
110,2021-07-12,386,10926.00,8355304.00,779.00,752.00,758.00
111,2021-07-11,525,12233.00,9335480.00,772.00,726.00,771.00
112,2021-07-08,510,12157.00,8854286.00,738.00,720.00,736.00
113,2021-07-07,467,10940.00,7979430.00,735.00,721.00,727.00
114,2021-07-06,522,14160.00,10431276.00,745.00,732.00,735.00
115,2021-07-05,441,8365.00,6234292.00,750.00,742.00,742.00
116,2021-07-04,654,10023.00,7540466.00,770.00,742.00,753.00
117,2021-07-01,585,12732.00,9617205.00,765.00,741.00,755.00
118,2021-06-30,467,13172.00,9795683.00,759.00,718.00,747.00
119,2021-06-29,501,12476.00,9509040.00,770.00,755.00,755.00
120,2021-06-28,590,10549.00,8093419.00,770.00,764.00,767.00
121,2021-06-27,692,16194.00,12360313.00,774.00,754.00,763.00
122,2021-06-24,613,13179.00,10113404.00,775.00,758.00,766.00
123,2021-06-23,530,18976.00,14728700.00,798.00,769.00,772.00
124,2021-06-22,595,19510.00,15260060.00,795.00,768.00,792.00
125,2021-06-21,820,27905.00,21841112.00,800.00,770.00,770.00
126,2021-06-20,848,26508.00,21182599.00,814.00,792.00,793.00
127,2021-06-17,741,22147.00,17921256.00,820.00,805.00,806.00
128,2021-06-16,821,35768.00,28876142.00,825.00,800.00,805.00
129,2021-06-15,967,35913.00,29523694.00,850.00,817.00,817.00
130,2021-06-14,1073,36571.00,30063674.00,830.00,812.00,822.00
131,2021-06-13,1136,42605.00,35042376.00,841.00,804.00,815.00
132,2021-06-10,843,31653.00,25961491.00,835.00,811.00,814.00
133,2021-06-09,1061,51309.00,42859178.00,861.00,817.00,824.00
134,2021-06-08,1510,60903.00,50289554.00,850.00,805.00,831.00
135,2021-06-07,902,21744.00,17582242.00,819.00,802.00,806.00
136,2021-06-06,887,37489.00,30180504.00,811.00,800.00,804.00
137,2021-06-03,911,30447.00,24756882.00,826.00,807.00,811.00
138,2021-06-02,750,21948.00,17784056.00,830.00,805.00,810.00
139,2021-06-01,659,25378.00,20632992.00,830.00,805.00,808.00
140,2021-05-31,1318,62337.00,51946961.00,856.00,794.00,817.00
141,2021-05-30,1855,87587.00,73264748.00,845.00,819.00,834.00
142,2021-05-27,850,32410.00,26373293.00,822.00,805.00,819.00
143,2021-05-25,1594,70620.00,58076346.00,846.00,795.00,818.00
144,2021-05-24,862,26994.00,21629835.00,815.00,795.00,799.00
145,2021-05-23,846,26948.00,21586272.00,807.00,787.00,804.00
146,2021-05-20,618,16468.00,13276493.00,825.00,803.00,806.00
147,2021-05-19,1135,44202.00,36125163.00,831.00,803.00,815.00
148,2021-05-18,885,24974.00,20212843.00,820.00,800.00,811.00
149,2021-05-17,1057,34113.00,27806989.00,829.00,807.00,808.00
150,2021-05-16,1454,45765.00,36930610.00,819.00,789.00,813.00
151,2021-05-13,564,16275.00,12839092.00,796.00,787.00,789.00
152,2021-05-12,492,11947.00,9473023.00,805.00,788.00,792.00
153,2021-05-11,713,19089.00,15223897.00,800.00,785.00,797.00
154,2021-05-10,643,13628.00,10834292.00,800.00,785.00,795.00
155,2021-05-09,717,16709.00,13331851.00,810.00,785.00,797.00
156,2021-05-06,1455,51426.00,41590131.00,830.00,800.00,808.00
157,2021-05-05,895,21153.00,16921677.00,806.00,757.00,797.00
158,2021-05-04,685,17638.00,14053822.00,804.00,780.00,796.00
159,2021-05-03,1054,34573.00,27899534.00,823.00,792.00,794.00
160,2021-05-02,1538,55214.00,44070246.00,812.00,781.00,807.00
161,2021-04-29,717,17443.00,13700531.00,805.00,769.00,790.00
162,2021-04-28,821,25837.00,20283069.00,804.00,760.00,782.00
163,2021-04-27,888,18203.00,13810622.00,779.00,725.00,779.00
164,2021-04-26,1116,28888.00,21380214.00,753.00,735.00,736.00
165,2021-04-25,1119,24975.00,18961739.00,794.00,750.00,756.00
166,2021-04-22,1092,22450.00,17515044.00,793.00,761.00,780.00
167,2021-04-21,917,15909.00,12323868.00,780.00,771.00,771.00
168,2021-04-20,960,15616.00,12176764.00,794.00,769.00,777.00
169,2021-04-19,1009,14968.00,11708243.00,832.00,775.00,779.00
170,2021-04-18,1039,18328.00,14489033.00,798.00,786.00,786.00
171,2021-04-15,1143,22334.00,17848328.00,840.00,795.00,797.00
172,2021-04-13,823,15193.00,12118173.00,804.00,788.00,800.00
173,2021-04-12,1215,34171.00,27264975.00,825.00,785.00,801.00
174,2021-04-08,943,18015.00,14440205.00,842.00,795.00,801.00
175,2021-04-07,904,18604.00,14927321.00,810.00,800.00,802.00
176,2021-04-06,1098,28130.00,22844692.00,840.00,808.00,809.00
177,2021-04-05,1132,25763.00,21395246.00,850.00,821.00,825.00
178,2021-04-04,1801,53045.00,44464415.00,863.00,814.00,841.00
179,2021-04-01,1306,32296.00,26658497.00,860.00,815.00,822.00
180,2021-03-31,1437,36033.00,30243760.00,855.00,833.00,837.00
181,2021-03-30,2279,56791.00,44881786.00,820.00,755.00,820.00
182,2021-03-29,1117,15859.00,11928953.00,764.00,747.00,755.00
183,2021-03-25,1208,23205.00,17613071.00,790.00,721.00,759.00
184,2021-03-24,1150,20644.00,15510478.00,760.00,737.00,758.00
185,2021-03-23,986,15760.00,11787500.00,755.00,740.00,749.00
186,2021-03-22,1050,20854.00,15898123.00,795.00,752.00,755.00
187,2021-03-21,1520,24819.00,18813286.00,772.00,735.00,772.00
188,2021-03-18,1112,18485.00,13599335.00,744.00,717.00,744.00
189,2021-03-17,1045,18347.00,13169199.00,725.00,710.00,724.00
190,2021-03-16,1063,16119.00,11574164.00,736.00,710.00,717.00
191,2021-03-15,1151,18931.00,13618370.00,732.00,697.00,717.00
192,2021-03-14,1350,24868.00,18199762.00,740.00,725.00,732.00
193,2021-03-10,969,12755.00,9481685.00,750.00,741.00,745.00
194,2021-03-09,1367,19698.00,14784048.00,760.00,745.00,752.00
195,2021-03-07,1254,16817.00,12836493.00,778.00,748.00,761.00
196,2021-03-04,1416,27492.00,21020576.00,775.00,742.00,770.00
197,2021-03-03,1167,27365.00,20537514.00,767.00,745.00,748.00
198,2021-03-02,1316,24210.00,18888155.00,800.00,761.00,772.00
199,2021-03-01,1644,25488.00,20081333.00,811.00,763.00,791.00
200,2021-02-28,2279,37966.00,30122499.00,810.00,785.00,788.00
201,2021-02-25,2094,31374.00,25471794.00,830.00,806.00,809.00
202,2021-02-24,1625,24746.00,20372166.00,844.00,800.00,819.00
203,2021-02-23,549,11239.00,9067981.00,823.00,805.00,806.00
204,2021-02-22,1661,25110.00,20647532.00,832.00,820.00,823.00
205,2021-02-21,2174,38718.00,32170478.00,841.00,799.00,829.00
206,2021-02-18,1761,35463.00,29812572.00,860.00,835.00,841.00
207,2021-02-17,1587,44080.00,37327208.00,870.00,838.00,852.00
208,2021-02-16,1338,33621.00,29250746.00,914.00,860.00,869.00
209,2021-02-15,1667,45459.00,39468343.00,903.00,860.00,871.00
210,2021-02-14,1941,48436.00,41917198.00,910.00,840.00,860.00
211,2021-02-11,2132,58676.00,48849504.00,842.00,822.00,828.00
212,2021-02-10,1949,40438.00,34136111.00,854.00,837.00,841.00
213,2021-02-09,2765,60981.00,51543133.00,860.00,832.00,850.00
214,2021-02-08,3702,98429.00,85132819.00,894.00,855.00,856.00
215,2021-02-07,6022,133101.00,115823723.00,892.00,830.00,877.00
216,2021-02-04,6391,154064.00,137881808.00,950.00,860.00,893.00
217,2021-02-03,11026,212805.00,202640488.00,1016.00,871.00,925.00
218,2021-02-02,6387,108208.00,99884902.00,924.00,882.00,924.00
219,2021-02-01,9166,142477.00,118696232.00,840.00,737.00,840.00
220,2021-01-31,27086,426505.00,318200267.00,764.00,690.00,764.00
221,2021-01-28,7171,74071.00,51434755.00,695.00,663.00,695.00
222,2021-01-27,1036,10341.00,6533252.00,632.00,603.00,632.00
223,2021-01-26,156,1521.00,873815.00,575.00,549.00,575.00
224,2021-01-25,99,990.00,517090.00,523.00,499.00,523.00
225,2021-01-24,43,420.00,199410.00,476.00,450.00,476.00
226,2021-01-21,38,380.00,162820.00,433.00,380.00,0.00
227,2021-01-20,21,210.00,82040.00,394.00,366.00,394.00
228,2021-01-19,16,160.00,56750.00,359.00,333.00,359.00
229,2021-01-18,18,180.00,57560.00,327.00,286.00,327.00
230,2021-01-17,16,160.00,47080.00,298.00,276.00,298.00
231,2021-01-13,6,60.00,16050.00,271.00,259.00,271.00
232,2021-01-12,17,165.00,40245.00,247.00,229.00,247.00
233,2021-01-11,16,96.00,20951.00,225.00,213.00,225.00
234,2021-01-10,13,120.00,24476.00,209.00,193.00,209.00
235,2021-01-07,6,60.00,11000.00,190.00,176.00,190.00
236,2021-01-06,24,222.00,38094.00,173.00,161.00,173.00
237,2021-01-05,3,30.00,4650.00,158.00,152.00,158.00
238,2021-01-04,7,62.00,8968.00,145.00,143.00,145.00
239,2021-01-03,12,120.00,16560.00,141.00,137.00,141.00
