S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
174,2021-04-08,30,12000.00,122580.00,10.25,10.20,10.20
175,2021-04-07,27,16900.00,171215.50,10.30,10.10,10.15
176,2021-04-06,25,20900.00,212161.00,10.20,10.10,10.11
177,2021-04-05,32,26210.00,267486.00,10.24,10.17,10.20
178,2021-04-04,25,5500.00,55558.50,10.17,10.00,10.17
179,2021-04-01,18,10200.00,102889.00,10.12,10.00,10.12
180,2021-03-31,29,17810.00,180205.20,10.13,10.06,10.12
181,2021-03-30,35,34350.00,347510.50,10.19,10.01,10.12
182,2021-03-29,24,15610.00,157350.80,10.10,10.00,10.10
183,2021-03-25,19,8200.00,82287.00,10.10,10.00,10.05
184,2021-03-24,23,23500.00,238240.00,10.19,9.99,10.10
185,2021-03-23,34,17900.00,180719.00,10.50,10.00,10.10
186,2021-03-22,28,128760.00,1288037.00,10.10,9.99,10.00
187,2021-03-21,35,15200.00,152973.00,10.10,10.00,10.10
188,2021-03-18,27,10520.00,105400.40,10.10,10.00,10.05
189,2021-03-17,29,37449.00,378918.90,10.19,9.93,10.19
190,2021-03-16,15,17770.00,176961.90,10.00,9.95,10.00
191,2021-03-15,24,32500.00,322864.00,10.12,9.80,9.92
192,2021-03-14,18,21600.00,215167.00,9.97,9.90,9.96
193,2021-03-10,14,9250.00,93704.00,10.19,10.00,10.01
194,2021-03-09,32,13070.00,131322.00,10.10,9.96,10.06
195,2021-03-07,31,77900.00,778629.00,10.10,9.98,10.00
196,2021-03-04,22,10600.00,106696.00,10.19,9.90,10.18
197,2021-03-03,12,15150.00,151747.50,10.10,10.00,10.00
198,2021-03-02,27,98800.00,994750.00,10.15,10.00,10.01
199,2021-03-01,40,19040.00,193805.50,10.45,10.05,10.12
200,2021-02-28,70,53150.00,541543.50,10.40,10.00,10.25
201,2021-02-25,55,127650.00,1292247.00,10.60,10.00,10.20
202,2021-02-24,48,43500.00,438978.50,10.30,9.83,10.30
203,2021-02-23,24,47500.00,474881.00,10.00,9.82,10.00
204,2021-02-22,96,195719.00,1981496.10,10.44,10.00,10.00
205,2021-02-21,108,517850.00,5224544.00,10.22,9.76,10.11
206,2021-02-18,39,60245.00,594450.35,10.03,9.61,9.83
207,2021-02-17,26,14200.00,140979.00,9.99,9.63,9.99
208,2021-02-16,40,17600.00,173863.50,10.10,9.70,9.77
209,2021-02-15,20,20600.00,203014.00,9.92,9.75,9.86
210,2021-02-14,27,18550.00,180885.50,9.90,9.70,9.71
211,2021-02-11,19,9500.00,92269.00,9.79,9.60,9.79
212,2021-02-10,13,5200.00,51072.00,9.91,9.75,9.75
213,2021-02-09,23,27910.00,276170.00,10.00,9.85,9.72
214,2021-02-08,22,5950.00,58338.50,9.89,9.61,9.89
215,2021-02-07,29,14000.00,136978.00,9.98,9.65,9.70
216,2021-02-04,22,6100.00,59369.00,9.98,9.60,9.79
217,2021-02-03,29,8600.00,85219.00,10.08,9.50,9.69
218,2021-02-02,30,19300.00,188045.00,9.85,9.65,9.66
219,2021-02-01,14,3700.00,36385.00,9.89,9.81,9.82
220,2021-01-31,24,17650.00,172969.00,9.89,9.61,9.85
221,2021-01-28,31,58800.00,573936.00,9.90,9.53,9.74
222,2021-01-27,17,5095.00,50403.00,10.00,9.74,9.87
223,2021-01-26,36,32150.00,320135.50,10.25,9.68,9.95
224,2021-01-25,19,44080.00,433615.50,9.90,9.80,9.87
225,2021-01-24,25,23450.00,232717.00,9.98,9.71,9.90
226,2021-01-21,37,30260.00,297081.90,9.90,9.56,9.90
227,2021-01-20,20,11150.00,108147.00,9.75,9.51,9.75
228,2021-01-19,16,12800.00,126517.00,10.00,9.77,9.79
229,2021-01-18,50,42410.00,418024.40,9.95,9.80,9.95
230,2021-01-17,35,79900.00,774270.00,9.80,9.61,9.64
231,2021-01-13,14,7510.00,73017.60,9.89,9.64,9.66
232,2021-01-12,23,13300.00,126642.00,9.87,9.20,9.75
233,2021-01-11,28,40360.00,380283.30,9.50,9.31,9.40
234,2021-01-10,17,5500.00,51193.00,9.39,9.22,9.32
235,2021-01-07,20,6850.00,64559.00,9.56,9.35,9.40
236,2021-01-06,24,8375.00,78789.00,9.50,9.25,9.47
237,2021-01-05,19,3200.00,29872.00,9.50,9.14,9.35
238,2021-01-04,3,1300.00,12080.00,9.30,9.28,9.30
239,2021-01-03,18,4550.00,42142.00,9.52,9.16,9.45
240,2020-12-31,21,6010.00,55044.60,9.33,9.04,9.16
241,2020-12-30,14,4200.00,38757.00,9.39,9.07,9.22
242,2020-12-29,21,8900.00,82737.00,9.39,9.00,9.39
243,2020-12-28,10,7250.00,66453.90,9.33,9.00,9.15
244,2020-12-27,16,5500.00,50297.00,9.17,9.13,9.16
245,2020-12-24,14,4200.00,39008.00,9.40,9.25,9.30
246,2020-12-23,28,9660.00,89595.00,9.40,9.06,9.35
247,2020-12-22,22,6000.00,54825.60,9.20,9.06,9.10
248,2020-12-21,6,4350.00,39546.00,9.22,9.04,9.10
249,2020-12-20,6,6100.00,56167.00,9.25,9.07,9.22
250,2020-12-17,12,4100.00,37838.00,9.26,9.20,9.25
251,2020-12-16,29,9450.00,88268.00,9.75,9.21,9.37
252,2020-12-15,28,10100.00,95425.00,9.77,9.10,9.39
253,2020-12-14,27,12700.00,117636.00,9.40,9.15,9.26
254,2020-12-13,15,6200.00,58249.00,9.46,9.20,9.45
255,2020-12-10,9,2600.00,24225.00,9.35,9.25,9.31
256,2020-12-09,18,6800.00,63008.00,9.47,9.10,9.33
257,2020-12-08,19,19100.00,180523.00,9.60,9.40,9.41
258,2020-12-07,8,1900.00,17876.00,9.50,9.22,9.50
259,2020-12-06,12,14600.00,136760.00,9.49,9.35,9.37
260,2020-12-03,11,11650.00,112250.50,9.70,9.55,9.61
261,2020-12-02,25,12950.00,124636.00,9.74,9.50,9.74
262,2020-12-01,20,20850.00,200632.00,9.75,9.53,9.55
263,2020-11-30,36,10900.00,107278.00,9.90,9.72,9.72
264,2020-11-29,35,47100.00,467632.00,10.00,9.62,9.85
265,2020-11-26,47,53110.00,527947.00,10.00,9.80,9.90
266,2020-11-25,27,23350.00,228655.00,9.80,9.64,9.80
267,2020-11-24,16,8300.00,80398.00,9.89,9.50,9.64
268,2020-11-23,16,11300.00,108808.00,9.65,9.53,9.65
269,2020-11-22,27,60100.00,588315.00,9.89,9.73,9.74
270,2020-11-19,17,8300.00,81543.00,9.94,9.73,9.92
271,2020-11-18,14,5250.00,51216.50,9.90,9.72,9.76
272,2020-11-12,84,92200.00,927638.50,10.13,10.00,10.10
273,2020-11-11,30,39110.00,382022.70,10.07,9.49,10.07
274,2020-11-10,15,4020.00,38035.40,9.57,9.36,9.50
275,2020-11-09,27,14700.00,140792.00,9.71,9.32,9.51
276,2020-11-08,40,94500.00,893410.60,9.84,9.17,9.80
277,2020-11-05,34,16300.00,151231.00,9.40,9.07,9.10
278,2020-11-04,13,4100.00,37535.00,9.25,9.15,9.25
279,2020-11-03,37,33700.00,306989.00,9.25,9.00,9.21
280,2020-11-02,16,5800.00,51970.00,9.01,8.77,9.01
281,2020-11-01,14,8000.00,71520.00,9.00,8.82,8.92
282,2020-10-29,23,6600.00,59627.00,9.15,8.97,9.00
283,2020-10-28,32,25650.00,235508.00,9.23,8.95,9.15
284,2020-10-22,15,3700.00,33161.00,9.05,8.81,9.05
285,2020-10-21,6,2200.00,19693.00,9.00,8.83,8.96
286,2020-10-20,5,7500.00,67015.00,8.98,8.81,8.98
287,2020-10-19,7,2750.00,24556.50,8.99,8.82,8.90
288,2020-10-18,16,12600.00,112257.00,9.10,8.76,9.00
289,2020-10-15,25,14000.00,125204.00,9.10,8.85,9.10
290,2020-10-14,19,7310.00,64676.90,8.85,8.83,8.85
291,2020-10-13,19,6710.00,59176.40,9.00,8.71,9.00
292,2020-10-12,22,4450.00,38749.50,8.75,8.68,8.71
293,2020-10-11,19,4100.00,35871.00,8.80,8.70,8.72
294,2020-10-08,10,2000.00,17701.00,8.86,8.85,8.86
295,2020-10-07,22,7050.00,62350.00,9.00,8.65,8.85
296,2020-10-06,26,21000.00,186701.00,9.09,8.60,9.00
297,2020-10-05,27,35750.00,314089.50,8.92,8.59,8.92
298,2020-10-04,30,21150.00,185430.00,8.95,8.63,8.75
299,2020-10-01,29,15010.00,133857.30,8.95,8.83,8.95
300,2020-09-30,19,10050.00,88892.00,8.91,8.70,8.91
301,2020-09-29,22,7300.00,64139.00,8.92,8.70,8.80
302,2020-09-28,19,6710.00,59367.30,8.86,8.83,8.85
303,2020-09-27,20,257300.00,2287427.00,9.00,8.85,9.00
304,2020-09-24,42,21150.00,188697.00,9.00,8.80,9.00
305,2020-09-23,20,18000.00,162808.50,9.10,8.95,8.97
306,2020-09-22,39,12950.00,117199.00,9.13,8.85,9.13
307,2020-09-21,43,22450.00,201323.00,9.04,8.84,8.94
308,2020-09-20,27,6080.00,54134.00,9.17,8.48,9.01
309,2020-09-17,25,8600.00,79400.00,9.35,9.09,9.35
310,2020-09-16,20,4300.00,39826.00,9.28,9.26,9.26
311,2020-09-15,47,35700.00,330224.50,9.44,9.15,9.44
312,2020-09-14,50,27250.00,255546.00,10.00,9.25,9.28
