S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
419,2019-12-22,5,21400.00,192060.00,9.05,8.85,9.00
420,2019-12-18,2,500.00,4417.00,8.85,8.83,8.85
421,2019-12-16,2,5100.00,45900.00,9.00,9.00,9.00
422,2019-12-15,2,2100.00,19262.00,9.18,9.02,9.02
423,2019-12-12,1,5000.00,45000.00,9.00,9.00,9.00
424,2019-12-11,2,800.00,7264.00,9.08,9.08,9.08
425,2019-12-09,4,5900.00,53603.00,9.25,8.90,9.25
426,2019-12-08,1,2000.00,17500.00,8.75,8.75,8.75
427,2019-12-04,1,100.00,860.00,8.60,8.60,8.60
428,2019-12-03,3,3810.00,33367.50,8.80,8.75,8.75
429,2019-12-01,2,11000.00,95090.00,8.79,8.63,8.63
430,2019-11-28,2,1500.00,12930.00,8.62,8.62,8.62
431,2019-11-27,3,6100.00,53798.00,8.85,8.68,8.68
432,2019-11-26,1,3000.00,26040.00,8.68,8.68,8.68
433,2019-11-25,2,1500.00,13020.00,8.68,8.68,8.68
434,2019-11-24,1,500.00,4400.00,8.80,8.80,8.80
435,2019-11-21,1,1500.00,13350.00,8.90,8.90,8.90
436,2019-11-20,1,200.00,1794.00,8.97,8.97,8.97
437,2019-11-19,1,2000.00,17600.00,8.80,8.80,8.80
438,2019-11-18,1,500.00,4370.00,8.74,8.74,8.74
439,2019-11-14,8,27500.00,245750.00,9.00,8.84,8.91
440,2019-11-13,6,31200.00,272580.00,8.85,8.66,8.73
441,2019-11-12,2,2100.00,18228.00,8.72,8.68,8.68
442,2019-11-11,1,500.00,4360.00,8.72,8.72,8.72
443,2019-11-07,1,500.00,4275.00,8.55,8.55,8.55
444,2019-11-06,5,2200.00,19142.00,8.71,8.70,8.71
445,2019-11-05,1,1000.00,8800.00,8.80,8.80,8.80
446,2019-11-04,3,5100.00,44815.00,8.92,8.70,8.92
447,2019-11-03,2,1000.00,8565.00,8.63,8.50,8.63
448,2019-10-31,2,200.00,1710.00,8.63,8.47,8.63
449,2019-10-22,1,590.00,5015.00,8.50,8.50,8.50
450,2019-10-20,2,1100.00,9666.00,8.80,8.66,8.66
451,2019-10-17,1,1100.00,9702.00,8.82,8.82,8.82
452,2019-10-16,1,500.00,4410.00,8.82,8.82,8.82
453,2019-10-14,1,500.00,4500.00,9.00,9.00,9.00
454,2019-10-03,3,5420.00,48913.40,9.10,9.02,9.05
455,2019-10-01,3,6090.00,56028.00,9.20,9.20,9.20
456,2019-09-26,4,7300.00,67854.00,9.33,9.28,9.29
457,2019-09-25,1,10000.00,91500.00,9.15,9.15,9.15
458,2019-09-24,3,300.00,2715.00,9.33,8.82,9.33
459,2019-09-23,2,1200.00,10966.00,9.15,9.08,9.15
460,2019-09-22,2,5500.00,50030.00,9.26,9.08,9.08
461,2019-09-19,1,100.00,926.00,9.26,9.26,9.26
462,2019-09-16,4,500.00,4647.00,9.35,9.25,9.26
463,2019-09-15,5,11500.00,109025.00,9.50,9.35,9.35
464,2019-09-10,4,1300.00,12418.00,9.57,9.55,9.55
465,2019-09-10,4,1300.00,12418.00,9.57,9.55,9.55
466,2019-09-09,2,550.00,5315.00,9.70,9.62,9.62
467,2019-09-05,1,1000.00,9890.00,9.89,9.89,9.89
468,2019-09-04,5,1900.00,18283.00,9.70,9.61,9.70
469,2019-09-02,1,2000.00,19340.00,9.67,9.67,9.67
470,2019-09-01,2,11000.00,106600.00,9.70,9.60,9.70
471,2019-08-29,2,5300.00,51249.00,9.83,9.66,9.66
472,2019-08-28,7,20400.00,197136.00,9.70,9.64,9.64
473,2019-08-27,5,2500.00,24121.00,9.71,9.60,9.60
474,2019-08-25,2,6000.00,59400.00,9.90,9.90,9.90
475,2019-08-22,8,15950.00,156165.50,9.88,9.60,9.80
476,2019-08-21,2,1000.00,9650.00,9.70,9.60,9.70
477,2019-08-20,3,17300.00,168640.00,9.75,9.70,9.75
478,2019-08-19,7,25350.00,249817.50,9.90,9.75,9.84
479,2019-08-18,5,3600.00,35371.00,9.85,9.66,9.85
480,2019-08-14,4,16100.00,158788.00,9.88,9.85,9.85
481,2019-08-12,12,19100.00,189260.00,10.08,9.89,10.08
482,2019-08-08,2,300.00,2961.00,9.90,9.81,9.90
483,2019-08-07,5,22610.00,228100.00,10.20,10.00,10.00
484,2019-08-05,1,6200.00,62000.00,10.00,10.00,10.00
485,2019-08-04,3,3500.00,35000.00,10.00,10.00,10.00
486,2019-08-01,4,2400.00,24220.00,10.20,10.00,10.00
487,2019-07-31,6,25850.00,259351.50,10.11,10.00,10.00
488,2019-07-30,1,250.00,2480.00,9.92,9.92,9.92
489,2019-07-29,2,5150.00,50470.00,9.80,9.80,9.80
490,2019-07-28,4,2100.00,20445.00,9.80,9.71,9.80
491,2019-07-24,3,2200.00,21727.00,10.00,9.87,9.87
492,2019-07-23,11,16900.00,168840.00,10.05,9.95,10.00
493,2019-07-22,8,14550.00,144145.00,9.95,9.90,9.90
494,2019-07-21,1,2000.00,20100.00,10.05,10.05,10.05
495,2019-07-16,8,6300.00,62820.00,10.18,9.58,10.18
496,2019-07-15,1,2000.00,18800.00,9.40,9.40,9.40
497,2019-07-14,5,1100.00,10519.00,9.60,9.45,9.45
498,2019-07-11,2,300.00,2825.00,9.45,9.40,9.45
499,2019-07-10,2,200.00,1865.00,9.35,9.30,9.35
500,2019-07-09,1,200.00,1866.00,9.33,9.33,9.33
501,2019-07-08,2,1000.00,9500.00,9.50,9.50,9.50
502,2019-07-07,2,2100.00,19742.00,9.42,9.40,9.42
503,2019-07-04,1,1000.00,9340.00,9.34,9.34,9.34
504,2019-07-02,3,1100.00,10447.00,9.53,9.35,9.53
505,2019-07-01,1,1000.00,9530.00,9.53,9.53,9.53
506,2019-06-30,8,6400.00,60804.00,9.65,9.47,9.47
507,2019-06-27,5,2200.00,21254.00,9.77,9.65,9.65
508,2019-06-26,5,3750.00,35327.50,9.59,9.25,9.59
509,2019-06-25,1,3000.00,28290.00,9.43,9.43,9.43
510,2019-06-24,2,1000.00,9575.00,9.60,9.55,9.60
511,2019-06-23,2,1000.00,9551.00,9.56,9.55,9.55
512,2019-06-20,5,4600.00,44490.00,9.70,9.65,9.65
513,2019-06-19,2,350.00,3425.00,9.84,9.65,9.84
514,2019-06-18,3,5500.00,53129.00,9.66,9.65,9.65
515,2019-06-17,7,5900.00,56360.00,9.65,9.47,9.55
516,2019-06-16,1,250.00,2362.50,9.45,9.45,9.45
517,2019-06-13,3,5500.00,51930.00,9.50,9.42,9.42
518,2019-06-12,2,600.00,5700.00,9.50,9.50,9.50
519,2019-06-11,2,1000.00,9500.00,9.50,9.50,9.50
520,2019-06-10,6,6800.00,65114.00,9.58,9.57,9.58
521,2019-06-04,1,300.00,2928.00,9.76,9.76,9.76
522,2019-06-03,1,400.00,3904.00,9.76,9.76,9.76
523,2019-05-30,3,10300.00,102459.00,9.95,9.93,9.95
524,2019-05-29,2,5100.00,50573.00,9.92,9.73,9.92
525,2019-05-28,2,5200.00,48708.00,9.54,9.36,9.54
526,2019-05-27,2,2500.00,22950.00,9.18,9.18,9.18
527,2019-05-26,6,4700.00,46590.00,9.95,9.90,9.00
528,2019-05-23,4,5200.00,51624.00,9.93,9.92,9.93
529,2019-05-22,4,7300.00,70986.00,9.73,9.70,9.73
530,2019-05-21,2,2500.00,24340.00,9.80,9.72,9.72
531,2019-05-20,1,1000.00,9900.00,9.90,9.90,9.90
532,2019-05-19,7,5800.00,57868.00,10.08,9.82,10.08
533,2019-05-16,10,29600.00,291273.00,9.95,9.75,9.89
534,2019-05-15,10,5550.00,54591.50,9.99,9.80,9.83
535,2019-05-14,3,8300.00,82029.00,9.89,9.69,9.89
536,2019-05-13,6,13000.00,126130.00,9.71,9.70,9.70
537,2019-05-12,2,2200.00,21322.00,9.70,9.61,9.70
538,2019-05-09,8,4400.00,42306.00,9.70,9.52,9.70
539,2019-05-08,1,10000.00,97000.00,9.70,9.70,9.70
540,2019-05-07,6,9100.00,89413.00,9.83,9.82,9.82
541,2019-05-06,8,25100.00,248621.00,10.00,9.81,10.00
542,2019-05-05,5,46800.00,465489.00,9.99,9.65,9.99
543,2019-05-02,4,2200.00,21042.00,9.66,9.46,9.66
544,2019-04-30,6,14000.00,135350.00,9.71,9.63,9.64
545,2019-04-29,3,11250.00,111252.50,9.89,9.88,9.89
546,2019-04-28,8,69300.00,671738.00,9.70,9.50,9.70
547,2019-04-25,4,2200.00,20962.00,9.60,9.50,9.50
548,2019-04-24,1,500.00,4875.00,9.75,9.75,9.75
549,2019-04-22,2,2500.00,24630.00,9.89,9.70,9.89
550,2019-04-21,2,1500.00,14280.00,9.58,9.40,9.58
551,2019-04-18,2,6250.00,59375.00,9.50,9.50,9.50
552,2019-04-17,1,100.00,941.00,9.41,9.41,9.41
553,2019-04-16,2,5900.00,53557.00,9.23,9.05,9.23
554,2019-04-15,8,25500.00,229550.00,9.01,9.00,9.00
555,2019-04-11,1,100.00,900.00,9.00,9.00,9.00
556,2019-04-10,3,1100.00,9883.00,9.00,8.83,9.00
557,2019-04-09,2,350.00,3162.50,9.05,9.00,9.00
558,2019-04-08,3,800.00,7195.00,9.05,8.90,9.05
559,2019-04-07,2,2300.00,20670.00,9.00,8.90,8.90
560,2019-04-04,2,1500.00,13240.00,8.94,8.77,8.94
561,2019-04-03,3,3100.00,26864.00,8.94,8.60,8.94
562,2019-04-02,6,3700.00,32745.00,9.00,8.75,8.75
563,2019-03-31,2,300.00,2692.00,9.00,8.92,9.00
564,2019-03-28,1,2000.00,18000.00,9.00,9.00,9.00
565,2019-03-26,1,5000.00,44450.00,8.89,8.89,8.89
566,2019-03-24,3,700.00,6205.00,8.87,8.85,8.85
567,2019-03-21,3,1100.00,9723.00,8.85,8.83,8.83
568,2019-03-19,1,1000.00,9000.00,9.00,9.00,9.00
569,2019-03-14,2,2900.00,25834.00,8.96,8.66,8.96
570,2019-03-13,4,1750.00,15379.50,8.83,8.66,8.79
571,2019-03-12,1,1000.00,8660.00,8.83,8.66,8.66
572,2019-03-07,1,25000.00,220750.00,8.83,8.66,8.83
573,2019-03-06,3,1510.00,13076.60,8.70,8.66,8.66
574,2019-03-05,1,500.00,4350.00,8.70,8.70,8.70
575,2019-03-03,1,100.00,870.00,8.82,8.70,8.70
576,2019-02-27,3,1100.00,9719.00,9.10,8.82,8.82
577,2019-02-26,3,800.00,7280.00,9.20,9.10,9.10
578,2019-02-25,1,1000.00,9200.00,9.20,9.18,9.20
579,2019-02-24,1,1000.00,9180.00,9.18,9.00,9.18
580,2019-02-19,1,500.00,4500.00,9.00,8.96,9.00
581,2019-02-13,1,500.00,4480.00,8.96,8.95,8.96
582,2019-02-11,1,100.00,895.00,8.95,8.95,8.95
583,2019-02-10,3,2000.00,17925.00,9.15,8.95,8.95
584,2019-02-07,1,1500.00,13725.00,9.15,9.00,9.15
585,2019-02-05,8,14900.00,134100.00,9.02,9.00,9.00
586,2019-02-04,6,5150.00,46685.00,9.10,9.00,9.02
587,2019-02-03,1,300.00,2715.00,9.05,9.00,9.05
588,2019-01-31,1,100.00,900.00,9.08,9.00,9.00
589,2019-01-30,4,6100.00,55239.00,9.08,8.84,9.08
590,2019-01-29,1,1000.00,9020.00,9.20,9.02,9.02
591,2019-01-28,2,400.00,3679.00,9.20,9.19,9.20
592,2019-01-24,2,700.00,6410.00,9.23,9.05,9.20
593,2019-01-21,3,1200.00,10928.00,9.23,9.05,9.23
594,2019-01-16,1,100.00,911.00,9.19,9.11,9.11
595,2019-01-15,1,500.00,4595.00,9.19,9.19,9.19
596,2019-01-10,3,8600.00,78830.00,9.19,9.00,9.19
597,2019-01-09,4,6300.00,57151.00,9.10,8.92,9.00
598,2019-01-08,2,5100.00,46410.00,9.10,9.00,9.10
599,2019-01-07,2,2000.00,18180.00,9.18,9.00,9.00
600,2019-01-06,1,200.00,1800.00,9.06,9.00,9.00
601,2019-01-01,2,1500.00,13530.00,9.18,9.00,9.06
602,2018-12-31,5,20200.00,183965.00,9.18,9.00,9.18
603,2018-12-25,2,1200.00,10800.00,9.00,9.00,9.00
604,2018-12-24,2,900.00,8100.00,9.05,9.00,9.00
605,2018-12-20,1,100.00,905.00,9.05,8.99,9.05
606,2018-12-18,4,7800.00,69959.00,9.17,8.74,8.99
607,2018-12-17,1,100.00,874.00,8.80,8.74,8.74
608,2018-12-12,4,5000.00,44000.00,8.80,8.67,8.80
609,2018-12-06,1,500.00,4335.00,8.70,8.67,8.67
610,2018-12-04,2,2600.00,22620.00,8.70,8.67,8.70
611,2018-12-03,2,2750.00,23842.50,8.67,8.50,8.67
612,2018-11-29,1,100.00,850.00,8.65,8.50,8.50
613,2018-11-28,6,18300.00,160361.00,8.80,8.32,8.65
614,2018-11-27,1,1000.00,8320.00,8.32,8.16,8.32
615,2018-11-25,1,500.00,4080.00,8.16,8.00,8.16
616,2018-11-15,1,500.00,4000.00,9.00,8.85,8.00
617,2018-11-14,3,10100.00,90900.00,9.10,9.00,9.00
618,2018-11-13,1,1000.00,9000.00,10.00,9.81,9.00
619,2018-11-01,1,200.00,1928.00,9.64,9.64,9.64
620,2018-10-31,1,200.00,1890.00,9.45,9.45,9.45
621,2018-10-25,5,1850.00,17663.50,9.61,9.51,9.52
622,2018-10-24,1,500.00,4800.00,9.60,9.60,9.60
623,2018-10-23,3,1880.00,18085.80,9.65,9.60,9.61
624,2018-10-22,1,2000.00,19300.00,9.65,9.65,9.65
625,2018-10-21,5,3500.00,33775.00,9.65,9.65,9.65
626,2018-10-11,2,2200.00,21130.00,9.65,9.60,9.65
627,2018-10-09,1,500.00,4875.00,9.75,9.75,9.75
628,2018-10-08,3,1800.00,17355.00,9.65,9.62,9.65
629,2018-10-04,2,3000.00,28890.00,9.65,9.61,9.61
630,2018-10-03,2,1600.00,15376.00,9.61,9.61,9.61
631,2018-10-02,5,11400.00,109455.00,9.65,9.60,9.65
632,2018-10-01,1,200.00,1904.00,9.52,9.52,9.52
633,2018-09-30,3,10900.00,105621.00,9.69,9.69,9.69
634,2018-09-26,1,100.00,950.00,9.50,9.50,9.50
635,2018-09-25,3,3500.00,33770.00,9.70,9.52,9.52
636,2018-09-18,2,5000.00,49100.00,9.90,9.80,9.80
637,2018-09-17,1,5000.00,49000.00,9.80,9.80,9.80
638,2018-09-16,4,4000.00,38760.00,9.69,9.69,9.69
639,2018-09-13,1,4000.00,38760.00,9.69,9.69,9.69
640,2018-09-12,3,2100.00,19950.00,9.50,9.50,9.50
641,2018-09-10,2,2625.00,25052.50,9.55,9.54,9.55
642,2018-09-09,2,1500.00,14425.00,9.65,9.55,9.55
643,2018-09-06,2,7700.00,74283.00,9.65,9.54,9.65
644,2018-09-05,1,1000.00,9350.00,9.35,9.35,9.35
645,2018-09-04,2,600.00,5700.00,9.50,9.50,9.50
646,2018-09-03,10,173100.00,1659991.00,9.69,9.13,9.50
647,2018-08-30,1,1000.00,8950.00,8.95,8.95,8.95
648,2018-08-23,1,1000.00,8950.00,8.95,8.95,8.95
649,2018-08-20,1,170.00,1521.50,8.95,8.95,8.95
650,2018-08-19,2,1100.00,9910.00,9.01,9.00,9.01
651,2018-08-09,2,200.00,1800.00,9.00,9.00,9.00
652,2018-08-08,7,6200.00,56684.00,9.15,8.83,9.15
653,2018-08-07,1,100.00,900.00,9.00,9.00,9.00
654,2018-08-06,1,500.00,4490.00,8.98,8.98,8.98
655,2018-08-05,1,500.00,4485.00,8.97,8.97,8.97
656,2018-08-01,2,15000.00,134200.00,8.95,8.94,8.94
657,2018-07-31,3,2200.00,20028.00,9.11,9.09,9.10
658,2018-07-30,1,500.00,4540.00,9.08,9.08,9.08
659,2018-07-29,2,1000.00,9270.00,9.27,9.27,9.27
660,2018-07-26,4,1300.00,12385.00,9.55,9.45,9.45
661,2018-07-25,2,1200.00,11424.00,9.55,9.37,9.55
662,2018-07-22,1,100.00,937.00,9.37,9.37,9.37
663,2018-07-19,2,600.00,5640.00,9.40,9.40,9.40
664,2018-07-18,1,500.00,4700.00,9.40,9.40,9.40
665,2018-07-17,1,500.00,4700.00,9.40,9.40,9.40
666,2018-07-16,1,100.00,928.00,9.28,9.28,9.28
667,2018-07-15,1,1000.00,9100.00,9.10,9.10,9.10
668,2018-07-12,1,200.00,1814.00,9.07,9.07,9.07
669,2018-07-11,1,1000.00,9070.00,9.07,9.07,9.07
670,2018-07-10,1,1625.00,14738.75,9.07,9.07,9.07
671,2018-07-08,1,300.00,2721.00,9.07,9.07,9.07
672,2018-07-04,3,1500.00,13705.00,9.17,9.07,9.07
673,2018-07-02,2,2000.00,18340.00,9.17,9.17,9.17
674,2018-07-01,5,2200.00,20140.00,9.17,9.00,9.17
675,2018-06-27,1,1000.00,9360.00,9.36,9.36,9.36
676,2018-06-21,1,500.00,4680.00,9.36,9.36,9.36
677,2018-06-19,1,100.00,936.00,9.36,9.36,9.36
678,2018-06-18,1,500.00,4710.00,9.42,9.42,9.42
679,2018-06-17,4,7000.00,65970.00,9.43,9.42,9.42
680,2018-06-12,2,10000.00,95500.00,9.60,9.50,9.60
681,2018-06-11,5,7100.00,67350.00,9.50,9.40,9.50
682,2018-06-10,2,600.00,5592.00,9.32,9.32,9.32
683,2018-06-04,4,3100.00,29381.00,9.48,9.41,9.48
684,2018-05-31,1,4500.00,43200.00,9.60,9.60,9.60
685,2018-05-29,4,1400.00,13397.00,9.60,9.40,9.60
686,2018-05-22,1,200.00,1870.00,9.35,9.35,9.35
687,2018-05-16,1,500.00,4675.00,9.35,9.35,9.35
688,2018-05-10,2,1000.00,9315.00,9.32,9.31,9.32
689,2018-05-09,2,1000.00,9315.00,9.33,9.30,9.30
690,2018-05-08,3,1100.00,10276.00,9.51,9.32,9.51
691,2018-05-06,3,7900.00,75255.00,9.65,9.51,9.51
692,2018-05-03,1,1000.00,9850.00,9.85,9.85,9.85
693,2018-05-02,3,700.00,6777.00,9.79,9.60,9.79
694,2018-04-29,3,1000.00,9800.00,9.80,9.80,9.80
695,2018-04-24,1,1000.00,10000.00,10.00,10.00,10.00
