S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
390,2020-02-12,26,980.00,1026090.00,1058.00,1025.00,1045.00
391,2020-02-11,22,565.00,581000.00,1042.00,1010.00,1040.00
392,2020-02-10,6,170.00,174400.00,1064.00,1003.00,1003.00
393,2020-02-09,16,610.00,607080.00,1044.00,989.00,1044.00
394,2020-02-06,31,867.00,880766.00,1044.00,1004.00,1005.00
395,2020-02-05,17,400.00,407225.00,1025.00,994.00,1023.00
396,2020-02-04,26,660.00,671140.00,1025.00,1000.00,1006.00
397,2020-02-03,26,834.00,827880.00,1010.00,985.00,985.00
398,2020-02-02,30,974.00,980091.00,1019.00,991.00,1010.00
399,2020-01-30,26,890.00,904270.00,1035.00,1000.00,1004.00
400,2020-01-29,17,551.00,557414.00,1030.00,980.00,990.00
401,2020-01-28,35,1560.00,1536380.00,1018.00,956.00,1018.00
402,2020-01-27,20,1445.00,1366462.00,975.00,922.00,970.00
403,2020-01-26,29,1300.00,1215300.00,960.00,910.00,913.00
404,2020-01-23,24,540.00,523970.00,989.00,952.00,952.00
405,2020-01-22,17,480.00,459090.00,969.00,946.00,951.00
406,2020-01-21,41,1487.00,1403051.00,980.00,932.00,964.00
407,2020-01-20,18,600.00,593910.00,1016.00,970.00,970.00
408,2020-01-19,26,970.00,1011390.00,1090.00,1015.00,1017.00
409,2020-01-16,16,257.00,268554.00,1090.00,1022.00,1090.00
410,2020-01-15,23,1235.00,1240225.00,1042.00,990.00,1042.00
411,2020-01-14,20,490.00,493580.00,1045.00,985.00,1024.00
412,2020-01-13,24,1395.00,1452205.00,1083.00,1025.00,1025.00
413,2020-01-12,58,3006.00,3115948.00,1044.00,968.00,1044.00
414,2020-01-09,211,7037.00,8119438.00,1177.00,1080.00,1177.00
415,2020-01-08,84,3610.00,3742640.00,1072.00,985.00,1070.00
416,2020-01-07,52,1665.00,1656795.00,1002.00,980.00,992.00
417,2020-01-06,44,2049.00,1992888.00,992.00,961.00,980.00
418,2020-01-05,60,2910.00,2782110.00,992.00,925.00,992.00
419,2020-01-02,128,5842.00,5325726.00,936.00,885.00,933.00
420,2020-01-01,17,650.00,578040.00,893.00,877.00,877.00
421,2019-12-31,22,2170.00,1913970.00,918.00,875.00,875.00
422,2019-12-30,26,1000.00,883105.00,900.00,877.00,888.00
423,2019-12-29,19,510.00,453040.00,912.00,881.00,894.00
424,2019-12-26,9,220.00,194350.00,897.00,878.00,895.00
425,2019-12-25,25,600.00,530580.00,902.00,876.00,880.00
426,2019-12-24,11,130.00,116430.00,925.00,872.00,897.00
427,2019-12-23,12,460.00,413080.00,914.00,885.00,907.00
428,2019-12-22,13,190.00,171210.00,907.00,890.00,903.00
429,2019-12-19,30,1491.00,1311483.00,922.00,870.00,913.00
430,2019-12-18,26,1230.00,1103340.00,940.00,892.00,940.00
431,2019-12-17,35,810.00,757000.00,963.00,891.00,943.00
432,2019-12-16,30,2238.00,2010684.00,928.00,893.00,909.00
433,2019-12-15,25,999.00,903160.00,923.00,890.00,918.00
434,2019-12-12,33,1407.00,1284125.00,939.00,907.00,939.00
435,2019-12-11,25,836.00,762430.00,948.00,880.00,930.00
436,2019-12-10,22,1053.00,920806.00,920.00,851.00,920.00
437,2019-12-09,25,630.00,549332.00,916.00,848.00,885.00
438,2019-12-08,17,510.00,421110.00,840.00,822.00,839.00
439,2019-12-05,19,1590.00,1304490.00,829.00,809.00,824.00
440,2019-12-04,14,770.00,617380.00,812.00,784.00,810.00
441,2019-12-03,16,160.00,125310.00,795.00,771.00,789.00
442,2019-12-02,11,220.00,171940.00,800.00,770.00,784.00
443,2019-12-01,16,380.00,290170.00,798.00,753.00,771.00
444,2019-11-28,26,840.00,682030.00,816.00,800.00,814.00
445,2019-11-27,13,150.00,117710.00,800.00,772.00,800.00
446,2019-11-26,5,70.00,54800.00,790.00,775.00,785.00
447,2019-11-25,16,170.00,132610.00,800.00,774.00,800.00
448,2019-11-24,7,240.00,184750.00,783.00,768.00,783.00
449,2019-11-21,10,160.00,125750.00,787.00,780.00,780.00
450,2019-11-20,15,490.00,390250.00,805.00,793.00,795.00
451,2019-11-19,26,270.00,216180.00,816.00,789.00,793.00
452,2019-11-18,13,689.00,552615.00,811.00,785.00,800.00
453,2019-11-17,12,140.00,110310.00,796.00,780.00,796.00
454,2019-11-14,22,710.00,556820.00,800.00,770.00,785.00
455,2019-11-13,8,120.00,93350.00,782.00,767.00,780.00
456,2019-11-12,9,90.00,71920.00,821.00,770.00,780.00
457,2019-11-11,11,373.00,293490.00,821.00,770.00,821.00
458,2019-11-10,18,843.00,659165.00,785.00,774.00,775.00
459,2019-11-07,17,170.00,133140.00,790.00,771.00,780.00
460,2019-11-06,6,100.00,77200.00,778.00,770.00,778.00
461,2019-11-05,14,140.00,109410.00,783.00,775.00,775.00
462,2019-11-04,11,110.00,86870.00,795.00,782.00,795.00
463,2019-11-03,6,60.00,46000.00,768.00,764.00,768.00
464,2019-10-31,6,60.00,46420.00,780.00,771.00,772.00
465,2019-10-24,10,100.00,76960.00,775.00,760.00,774.00
466,2019-10-23,3,30.00,22870.00,764.00,760.00,760.00
467,2019-10-22,9,90.00,69380.00,775.00,766.00,771.00
468,2019-10-21,12,149.00,115990.00,780.00,776.00,780.00
469,2019-10-20,5,50.00,38620.00,777.00,770.00,775.00
470,2019-10-17,13,800.00,624860.00,786.00,771.00,777.00
471,2019-10-15,7,70.00,54160.00,780.00,770.00,780.00
472,2019-10-14,6,530.00,413508.00,786.00,778.00,781.00
473,2019-10-03,5,141.00,113410.00,806.00,800.00,801.00
474,2019-10-02,2,20.00,15830.00,792.00,791.00,791.00
475,2019-10-01,8,350.00,280210.00,809.00,800.00,801.00
476,2019-09-30,7,90.00,70310.00,790.00,775.00,785.00
477,2019-09-29,10,180.00,143110.00,810.00,785.00,800.00
478,2019-09-26,17,340.00,267480.00,801.00,786.00,795.00
479,2019-09-25,12,140.00,109930.00,798.00,775.00,798.00
480,2019-09-24,21,240.00,189220.00,800.00,780.00,800.00
481,2019-09-23,12,120.00,94060.00,796.00,776.00,796.00
482,2019-09-22,8,80.00,62360.00,790.00,771.00,790.00
483,2019-09-19,17,170.00,136630.00,820.00,795.00,796.00
484,2019-09-18,32,440.00,357540.00,823.00,800.00,821.00
485,2019-09-17,16,170.00,138660.00,825.00,795.00,807.00
486,2019-09-16,19,210.00,166540.00,805.00,786.00,805.00
487,2019-09-15,26,690.00,547130.00,813.00,785.00,800.00
488,2019-09-12,9,249.00,197338.00,800.00,791.00,798.00
489,2019-09-11,14,190.00,152200.00,810.00,798.00,805.00
490,2019-09-10,21,320.00,256620.00,812.00,792.00,810.00
491,2019-09-10,21,320.00,256620.00,812.00,792.00,810.00
492,2019-09-09,23,320.00,255440.00,805.00,794.00,805.00
493,2019-09-08,17,170.00,136930.00,810.00,800.00,809.00
494,2019-09-05,32,580.00,470450.00,815.00,800.00,815.00
495,2019-09-04,20,370.00,299120.00,833.00,801.00,813.00
496,2019-09-03,25,451.00,363906.00,840.00,792.00,840.00
497,2019-09-02,36,1190.00,952310.00,808.00,797.00,808.00
498,2019-09-01,19,210.00,168760.00,812.00,802.00,812.00
499,2019-08-29,9,90.00,72720.00,817.00,802.00,817.00
500,2019-08-28,20,790.00,634200.00,818.00,800.00,814.00
501,2019-08-27,35,510.00,414410.00,821.00,800.00,818.00
502,2019-08-26,30,1340.00,1079760.00,820.00,800.00,812.00
503,2019-08-25,34,840.00,672540.00,820.00,793.00,820.00
504,2019-08-22,33,360.00,291900.00,820.00,804.00,811.00
505,2019-08-21,35,670.00,544470.00,820.00,806.00,811.00
506,2019-08-20,47,470.00,386290.00,835.00,818.00,835.00
507,2019-08-19,50,940.00,775110.00,847.00,810.00,834.00
508,2019-08-18,52,1400.00,1139030.00,830.00,801.00,825.00
509,2019-08-15,26,510.00,417910.00,829.00,809.00,829.00
510,2019-08-14,54,1060.00,866340.00,824.00,808.00,824.00
511,2019-08-13,48,825.00,680625.00,844.00,814.00,824.00
512,2019-08-12,83,1060.00,876010.00,848.00,817.00,829.00
513,2019-08-11,154,3870.00,3241805.00,872.00,808.00,837.00
514,2019-08-08,48,530.00,408670.00,793.00,750.00,793.00
515,2019-08-07,110,2070.00,1585625.00,810.00,690.00,805.00
516,2019-08-06,161,3869.00,2958205.00,815.00,743.00,749.00
517,2019-08-05,344,10582.00,8880384.00,872.00,780.00,825.00
518,2019-08-04,58,1770.00,1369470.00,793.00,756.00,793.00
519,2019-08-01,110,3670.00,2618540.00,721.00,664.00,721.00
520,2019-07-31,108,3250.00,2059485.00,656.00,590.00,656.00
521,2019-07-30,86,2292.00,1290213.00,597.00,544.00,597.00
522,2019-07-29,96,2730.00,1454200.00,550.00,510.00,550.00
523,2019-07-28,58,1200.00,607850.00,523.00,497.00,503.00
524,2019-07-25,87,8690.00,4497410.00,531.00,494.00,516.00
525,2019-07-24,76,3478.00,1764600.00,519.00,487.00,519.00
526,2019-07-23,67,1340.00,654710.00,517.00,481.00,494.00
527,2019-07-22,45,895.00,440810.00,520.00,484.00,493.00
528,2019-07-21,72,1668.00,803538.00,499.00,465.00,499.00
529,2019-07-18,30,360.00,171140.00,484.00,473.00,473.00
530,2019-07-17,55,770.00,364360.00,479.00,464.00,475.00
531,2019-07-16,28,550.00,258580.00,480.00,465.00,471.00
532,2019-07-15,80,850.00,400070.00,475.00,465.00,472.00
533,2019-07-14,92,1400.00,651340.00,470.00,462.00,465.00
534,2019-07-11,156,1800.00,839360.00,469.00,459.00,466.00
535,2019-07-10,114,1230.00,575690.00,475.00,464.00,465.00
536,2019-07-09,278,3110.00,1462510.00,479.00,461.00,478.00
537,2019-07-08,676,9483.00,4508220.00,490.00,450.00,465.00
538,2019-07-07,324,4077.00,1847973.00,457.00,436.00,457.00
539,2019-07-04,5,50.00,20450.00,416.00,397.00,416.00
540,2019-07-03,2,20.00,7510.00,379.00,372.00,379.00
541,2019-07-01,1,10.00,3550.00,355.00,355.00,355.00
542,2019-06-30,7,70.00,23460.00,339.00,324.00,339.00
543,2019-06-26,1,10.00,3090.00,309.00,309.00,309.00
544,2019-06-24,1,10.00,2950.00,295.00,295.00,295.00
545,2019-06-17,2,20.00,5570.00,281.00,276.00,281.00
