Date,Open,High,Low,Close,Volume
2020-09-09,1030.0,1050.0,1050.0,1050.0,2000.0
2020-09-22,1050.0,1030.0,1030.0,1030.0,125.0
2020-09-23,1050.0,1050.0,1050.0,1050.0,25.0
2020-09-28,1050.0,1050.0,1050.0,1050.0,100.0
2020-09-29,1050.0,1050.0,1030.0,1050.0,40.0
2020-10-01,1050.0,1050.0,1050.0,1050.0,30.0
2020-10-04,1050.0,1050.0,1050.0,1050.0,35.0
2020-10-05,1050.0,1050.0,1050.0,1050.0,25.0
2020-10-06,1035.0,1050.0,1040.0,1050.0,175.0
2020-10-19,1035.0,1035.0,1035.0,1035.0,35.0
2020-10-29,1040.0,1035.0,1035.0,1035.0,25.0
2020-11-11,1050.0,1040.0,1040.0,1040.0,55.0
2020-11-19,1050.0,1050.0,1050.0,1050.0,25.0
2020-11-22,1035.0,1050.0,1050.0,1050.0,100.0
2020-12-06,1030.0,1035.0,1035.0,1035.0,200.0
2020-12-07,1050.0,1030.0,1030.0,1030.0,25.0
2020-12-09,1050.0,1050.0,1050.0,1050.0,125.0
2020-12-10,1041.0,1050.0,1041.0,1050.0,2025.0
2020-12-24,1060.0,1041.0,1041.0,1041.0,25.0
2020-12-29,1065.0,1060.0,1060.0,1060.0,10.0
2020-12-31,1075.0,1065.0,1065.0,1065.0,1140.0
2021-01-03,1070.0,1075.0,1056.0,1075.0,100.0
2021-01-05,1075.0,1070.0,1070.0,1070.0,925.0
2021-01-06,1070.0,1075.0,1070.0,1075.0,150.0
2021-01-20,1055.0,1070.0,1070.0,1070.0,25.0
2021-01-21,1050.0,1055.0,1055.0,1055.0,500.0
2021-01-25,1040.0,1050.0,1050.0,1050.0,25.0
2021-01-27,1060.0,1040.0,1040.0,1040.0,65.0
2021-01-28,1100.0,1060.0,1060.0,1060.0,50.0
2021-02-01,1078.0,1100.0,1081.0,1100.0,20.0
2021-02-16,1080.0,1078.0,1078.0,1078.0,25.0
2021-02-18,1059.0,1080.0,1057.0,1080.0,50045.0
2021-02-21,1058.0,1059.0,1059.0,1059.0,500.0
2021-02-23,1045.0,1060.0,1050.0,1058.0,225.0
2021-03-03,1050.0,1046.0,1045.0,1045.0,100.0
2021-03-07,1050.0,1050.0,1050.0,1050.0,25.0
2021-03-09,1065.0,1050.0,1050.0,1050.0,25.0
2021-03-10,1079.0,1065.0,1055.0,1065.0,180.0
2021-03-14,1060.0,1079.0,1079.0,1079.0,225.0
2021-03-16,1060.0,1060.0,1060.0,1060.0,25.0
2021-03-25,1060.0,1060.0,1055.0,1060.0,50.0
2021-04-07,1060.0,1060.0,1060.0,1060.0,50.0
2021-04-15,1060.0,1060.0,1060.0,1060.0,25.0
2021-04-19,1060.0,1060.0,1060.0,1060.0,25.0
2021-04-25,1065.0,1060.0,1060.0,1060.0,50.0
2021-05-13,1051.0,1065.0,1065.0,1065.0,205.0
2021-05-17,1054.0,1051.0,1051.0,1051.0,25.0
2021-05-19,1050.0,1054.0,1054.0,1054.0,25.0
2021-05-20,1050.0,1050.0,1050.0,1050.0,100.0
2021-05-23,1060.0,1050.0,1050.0,1050.0,25.0
2021-05-30,1070.0,1060.0,1051.0,1060.0,46.0
2021-06-03,1070.0,1070.0,1055.0,1070.0,177.0
2021-06-07,1060.0,1070.0,1070.0,1070.0,25.0
2021-06-10,1056.0,1060.0,1060.0,1060.0,25.0
2021-06-14,1066.0,1056.0,1056.0,1056.0,25.0
2021-06-15,1080.0,1066.0,1056.0,1066.0,50.0
2021-06-16,1059.0,1087.0,1080.0,1080.0,200.0
2021-06-17,1080.0,1059.0,1059.0,1059.0,20.0
2021-06-20,1065.0,1080.0,1080.0,1080.0,50.0
2021-06-21,1065.0,1080.0,1063.0,1065.0,135.0
2021-06-23,1081.0,1065.0,1065.0,1065.0,25.0
2021-06-29,1080.0,1081.0,1081.0,1081.0,50.0
2021-06-30,1065.0,1080.0,1080.0,1080.0,200.0
2021-07-01,1065.0,1065.0,1063.0,1065.0,50.0
2021-07-05,1107.0,1065.0,1065.0,1065.0,50.0
2021-07-12,1141.0,1107.0,1086.0,1107.0,130.0
2021-07-13,1118.2,1141.0,1107.0,1141.0,450.0
2021-08-11,1095.9,1118.2,1118.2,1118.2,1000.0
2021-09-02,1074.0,1095.9,1095.9,1095.9,150.0
2021-09-26,1074.0,1074.0,1074.0,1074.0,125.0
2021-10-19,1052.6,1074.0,1074.0,1074.0,25.0
2021-11-24,1006.2,1052.6,1052.6,1052.6,30.0
2021-11-25,1005.0,1035.0,1001.0,1006.2,1220.0
2021-11-28,1005.0,1005.0,998.1,1005.0,150.0
2021-11-29,1006.0,1005.0,1005.0,1005.0,25.0
2021-12-01,1000.0,1006.0,1006.0,1006.0,25.0
2021-12-02,1006.0,1002.0,999.5,1000.0,100.0
2021-12-07,1006.0,1006.0,997.2,1006.0,90.0
2021-12-09,997.0,1006.0,1006.0,1006.0,25.0
2021-12-13,1016.9,997.0,997.0,997.0,25.0
2021-12-15,1005.0,1016.9,1016.9,1016.9,25.0
2021-12-22,1000.0,1005.0,1005.0,1005.0,25.0
2021-12-26,1020.0,1000.0,1000.0,1000.0,50.0
2021-12-27,1020.0,1020.0,1015.0,1020.0,100.0
2021-12-29,1020.0,1020.0,1020.0,1020.0,25.0
